NOMBRE,D1,D,AP,L,BCH,DIENTES,P,M,K,N,S,H,PLANEADO,RANURADO,ESCUADRA,CAVIDAD
2N342-0600-PC,6,6,13,57,0.1,5,1,0,1,0,0,0,0,1,1,0
2N342-0800-PC,8,8,18,63,0.15,5,1,0,1,0,0,0,0,1,1,0
2N342-1000-PC,10,10,22,72,0.15,5,1,0,1,0,0,0,0,1,1,0
2N342-1200-PC,12,12,26,83,0.15,5,1,0,1,0,0,0,0,1,1,0
2N342-1400-PC,14,14,30,83,0.15,5,1,0,1,0,0,0,0,1,1,0
2N342-1600-PC,16,16,34,92,0.25,5,1,0,1,0,0,0,0,1,1,0
2N342-2000-PC,20,20,42,104,0.25,5,1,0,1,0,0,0,0,1,1,0
2N342-2500-PC,25,25,52,121,0.25,5,1,0,1,0,0,0,0,1,1,0
2P342-1000-CMB,10,10,22,72,0.15,4,0,1,0,0,1,0,0,1,1,0
2P342-1200-CMB,12,12,26,83,0.15,4,0,1,0,0,1,0,0,1,1,0
2P342-1600-CMB,16,16,34,97,0.25,4,0,1,0,0,1,0,0,1,1,0
2P342-2000-CMB,20,20,42,109.6,0.25,4,0,1,0,0,1,0,0,1,1,0
2P342-2500-CMB,25,25,52,129.5,0.25,4,0,1,0,0,1,0,0,1,1,0
R215.H4-04050BAC01H,4,6,11,57,,4,1,0,0,0,0,1,1,0,0,0
R215.H4-06050BAC02H,6,6,15,57,,4,1,0,0,0,0,1,1,0,0,0
R215.H4-08050CAC02H,8,8,20,63,,4,1,0,0,0,0,1,1,0,0,0
R215.H4-10050DAC03H,10,10,26,72,,4,1,0,0,0,0,1,1,0,0,0
R215.H4-12050DAC04H,12,12,30,83,,4,1,0,0,0,0,1,1,0,0,0
R215.H4-16050EAC05H,16,16,36,92,,4,1,0,0,0,0,1,1,0,0,0
R215.H4-20050EAC06H,20,20,45,104,,4,1,0,0,0,0,1,1,0,0,0
R215.H4-06050BAK02P,6,6,15,100,,4,1,1,1,0,1,0,1,0,0,0
R215.H4-08050CAK02P,8,8,20,120,,4,1,1,1,0,1,0,1,0,0,0
R215.H4-10050DAK03P,10,10,26,150,,4,1,1,1,0,1,0,1,0,0,0
R215.H4-12050DAK08P,12,12,12,93,,4,1,1,1,0,1,0,1,0,0,0
R215.H4-16050EAK10P,16,16,16,112,,4,1,1,1,0,1,0,1,0,0,0
R215.H4-20050EAK13P,20,20,20,130,,4,1,1,1,0,1,0,1,0,0,0
R216.23-02050BAK70H,2,6,7,57,,3,1,0,0,0,0,1,0,1,1,0
R216.23-03050BAK08H,3,6,8,57,,3,1,0,0,0,0,1,0,1,1,0
R216.23-04050CAK11H,4,6,11,57,,3,1,0,0,0,0,1,0,1,1,0
R216.23-05050CAK13H,5,6,13,57,,3,1,0,0,0,0,1,0,1,1,0
R216.24-06050CAK13H,6,6,13,65,,4,1,0,0,0,0,1,0,1,1,0
R216.24-08050EAK19H,8,8,19,80,,4,1,0,0,0,0,1,0,1,1,0
R216.24-10050EAK22H,10,10,22,100,,4,1,0,0,0,0,1,0,1,1,0
R216.24-12050GAK26H,12,12,26,100,,4,1,0,0,0,0,1,0,1,1,0
R216.24-14050GAK26H,14,14,26,104,,4,1,0,0,0,0,1,0,1,1,0
R216.24-16050IAK32H,16,16,32,115,,4,1,0,0,0,0,1,0,1,1,0
R216.24-20050IAK38H,20,20,38,125,,4,1,0,0,0,0,1,0,1,1,0
R215.34C06050-BC13P,6,6,13,57,0.1,4,1,1,1,0,1,0,0,1,1,0
R215.34C08050-BC19P,8,8,19,63,0.1,4,1,1,1,0,1,0,0,1,1,0
R215.34C10050-BC22P,10,10,22,72,0.1,4,1,1,1,0,1,0,0,1,1,0
R215.34C12050-BC26P,12,12,26,83,0.1,4,1,1,1,0,1,0,0,1,1,0
R215.34C16050-BC32P,16,16,32,92,0.15,4,1,1,1,0,1,0,0,1,1,0
R215.34C20050-BC38P,20,20,38,104,0.15,4,1,1,1,0,1,0,0,1,1,0
